#separator:tab
#html:false
〜あっての・・・	〜があるから・・・が成り立つ ＝〜がなかったら、・・・が成り立たない
〜いかんでは / 〜いかんによっては	〜によっては / 〜次第で / 〜かどうかで
〜いかんにかかわらず / いかんによらず / いかんをとわず	〜かどうか関係なく   前件の事柄がどうであれ、それに関係なく後ろの事柄が成立することを表す。
〜かたがた	〜のついでに / 〜も兼ねて
〜かたわら	〜一方で、別に〜   仕事や研究などの社会的活動をしながら、別のこともしていることを表す文型。   ２つの活動は異なる時間帯で行われ、かつ「ながら」に比べ長期間続けている活動に対して使われる。また、習慣的な行為に用いられることが多い。
〜がてら	〜を兼ねて / 〜のついでに   後件には「行く」や「散歩する」のように移動に関係する動詞がよく使われる。「ついで」よりも少し硬い表現である。
「〜がてら」と「〜ついでに」の違い	意味はどちらも同じだが、「〜がてら」は移動を伴う文に使われるため、そうでない場合は使えない。   置き換えできないケース   ⭕️ インターネットで本を買うついでに、アニメのDVDまで買ってしまった。 ❌ インターネットで本を買いがてら、アニメのDVDまで買ってしまった。
〜かと思いきや	〜と思ったが、実際は・・・
〜が早いか	〜するとすぐに
〜からある / 〜からする / 〜からの	〜か、それ以上の・・・   数量や程度が大きいことを強調する言い方。
〜かれ〜かれ	程度に差はあっても〜だ。
〜きっての	〜の中で一番の   組織や地域、グループの中で最も優秀なものや、代表するものを言いたい時に使う。
〜きらいがある	〜の傾向がある   よくない傾向について言う時に使われる。自然現象に使うことはできない。書き言葉的で話す時にはほとんど使わない。   ❌例：今の時期は雨が降りやすいきらいがある。
〜極まる / 極まりない	非常に〜だ / この上なく〜だ 程度が非常に高いことを表す。
〜ごとき / ごとく / ごとし	〜ように   「ごとき」が人を表す名詞と接続した場合、相手を軽視した表現になる。また、自分について言う場合は謙遜の意味を持つ。
〜こととて	〜だから / 〜なので   謝罪の理由を表す時に使われる。
〜始末だ	〜という結果だ 色々と経過を経て、最後には悪い結果になったと言いたい時に使う。
〜ずくめ	〜が多い / 〜ばかりだ
〜ずにはおかない / 〜ではおかない	①必ず〜する （強い決意を表す） ②自然に〜してしまう
〜ずにはすまない	〜ないでは許されない / 必ず〜しなければならない   その場の状況や社会的常識などを考慮して、「〜しなければならない」と言いたい時に使う。
〜術がない	〜する方法がない / 〜することができない
〜すら	〜も / 〜さえ
〜そばから	〜しても、すぐに・・・
ただ〜のみ	ただ〜だけ それ以外にはないと限定して言う表現。
〜たためしがない	"""〜という前例がない / 〜ということは一度も見たり・聞いたりしたことがない"" 話し手の不満や驚きを表す。"
〜たところで	いくら〜しても   前件に来ることをいくら〜しても、期待する結果が得られないことを表す。
〜だに	〜さえ / 〜すら / 〜するだけでも 基本的には否定形と一緒に「〜だに〜ない」の形で使われることが多い。
〜だの〜だの	〜や〜など   例を複数挙げて言う時に使う。
〜たはずみに / 〜た拍子に	〜したことで、つい・・・   ある事柄がきっかけとなって、「つい」、「うっかり」別の事柄が起こることを表す。
〜た分だけ・・・	前件の行為の程度や時間が、後件にも影響すること述べる表現。
〜たまでだ / 〜たまでのことだ	〜しただけのことだ   「特別な意図はなく、単に〜しただけだ」と言いたい時に使う。
〜たら最後 / 〜たが最後	もし〜のようなことをしたら、（全てがダメになる）。
〜たら〜たで・・・	〜の場合は、当然・・・すべきだ / 〜の場合は、必ず・・・という結果になる
〜たりとも〜ない	〜も / 〜でも 前件で最小単位の語を示して、それさえも〜ないと否定する言い方。
〜たるもの	〜の立場にあるのだから、（当然・・・）
〜つくす	残らず全部〜する
〜つ〜つ	〜たり〜たり   「〜たり〜たり」の慣用的な表現で、使用場面は限られる。同一場面、同じ時間帯の中で起こっていることを表すので、次のようなのは使えない。   誤用例：明日は勉強しつ、本を読みつするつもりだ。
〜であれ〜であれ	〜でも〜でも・・・だ。 例を挙げて、「どちらの場合でも・・・だ」と言いたい時に使う。
〜てからというもの	〜てからずっと ある行動がきっかけとなって、何か大きな変化があったことを述べる表現
〜ではあるまいし / 〜でもあるまいし	〜ではないのだから、当然・・・
〜手前（てまえ）	①〜という立場・状況なので、（・・・するしかない） ②〜の前なので、  ・「〜という状況や立場からなので、・・・するほか選択肢がない」と言いたい時に使う。 ・話し手の第三者に対する態度を意識した表現。後件には主観的な文が来ることが多い。
〜てやまない	すごく〜ている / 心から〜ている 話し手の気持ちが強く、ずっと〜している、思っていると言う時に使う。
〜と相まって / 〜が相まって	〜が影響して、より・・・ 「ある物や事柄がプラスされ、より一層効果が得られる」という意味
〜とあれば	〜なら  前件なら、後件の内容が起こるのはやむ終えない、仕方がないと言いたい時に使う。
〜といい〜といい	〜も〜も / 〜だけでなく〜も 目立つ点を挙げて、述べる表現で、人や物を評価するときに使われる。
〜といえども	たとえ〜であっても / いくら〜でも
〜というもの	〜の間ずっと
〜ときたら	"""〜について言うと"" 話し手の不満や非難の気持ちを言う時によく使われる。"
〜ところ（を）	〜のに / 〜という状況なのに 相手の状況を配慮した表現。
〜とはいえ	〜といっても
〜ともあろう	〜のような素晴らしい人が 話し手が高く評価している人やものが、ふさわしくない行動をしたことを表す。
〜ともなく / 〜ともなしに	① 特に意識して〜しようというつもりはなく 無意識に動作をしていることを表す。   ② 〜についてははっきりないが、・・・ 動作や場所などがはっきりとしないことを表す。
〜ともなると / 〜ともなれば	〜という状況や立場になると・・・
〜ながら	〜のままの状態で そのまま状態が変化せずに続く様子を表す。
〜なくしては	〜がなければ・・・ない 前件が成立しなければ、後件が成立しにくいと言いたい時に使う。
〜なくもない	場合によっては〜かもしれない / 全く〜ないというわけではない
〜なしに / 〜なしで	"""〜ないで / 〜なく"" 「AなしにB」で本来ならAをして、Bをするという段階があるのに、AをしないでBが行われることを表す。"
〜ならでは	〜特有の / 〜でなければできない その特徴が他ではあまり見られない、そのことは他の人ではできないといった意味を表す。
〜ないまでも	〜という程度には達しないが
〜なり	〜すると同時に
〜なりとも	わずか〜でも / せめて〜でもいいから 最低限の条件を取り上げて、希望を行ったり、評価するときに使う。
〜なり〜なり	〜でもいいし、〜でもいいし、とにかく何か・・・ 〜でもいいし、〜でもいいし、好きなように・・・
〜なりに	〜に見合った / 〜にふさわしい程度に
〜にあって	〜（という特別な事態や場所）において / で /に
〜に至る	〜になる 「色々なことがあったが、最終的に結果として〜になった」と言いたい時に使う。
〜に至るまで	〜までも / 〜に達するまでも 上限を強調して言う表現。
〜に言わせれば	〜の意見としては・・・
〜にかかっては / 〜にかかったら / 〜にかかると / 〜かかれば	〜が扱うと、全く違う結果になる 〜の影響力が強く、一般的な見込みとは全く違う結果になることを表す。
文型１：〜に関わる	〜に影響する 「命」や「生死」など重要なものに影響すると言いたい時に使う。
文型２：〜に関わる	〜に関係がある
〜に限ったことではない	〜だけに言えることじゃない / 〜だけでなく、他にもある
〜にかこつけて	〜を表向きの理由にして / 〜を口実にして
〜にかたくない	容易に〜できる / 〜するのは簡単だ
〜にかまけて	〜に気をかけて あることに忙しかったり、夢中になりすぎて、他のことがおそろかになっていることを表す。
〜にして	〜で / 〜になって 強調表現で、程度に関して驚きやすごいという気持ちがある。
〜に忍びない	我慢できない / 耐えられない / 〜するのに心が痛む
〜に即して	〜とおりに / 〜に従って / 〜を基準に  前に来る語が基準となるということを表す。
〜に堪える	〜する価値がある
〜に堪えない	①我慢できないほど〜だ。 ②〜する価値がない
〜に足る	〜できる / 〜する価値がある
〜にとどまらず	〜だけでなく その事柄が狭い範囲だけでなく、もっと広い範囲を対象に影響していると言いたいときに使う。
〜に則って（〜にのっとって）	〜を基準に・・・ / 〜に従って・・・ ルールや社会的常識、習慣などを基準にして、・・・すると言いたいときに使う表現
〜にはあたらない	① 〜するほど価値や重みがない / 〜する必要がない ② 〜には該当しない
「〜には当たらない」と「〜には及ばない」の違い	「〜には当たらない」はそこまで価値がない、重みがないので〜する必要がないと述べる場合に使うので、単に「〜する必要がない」と述べる場合に使うと不自然に聞こえる場合がある。  例文  ⭕️ ちょっと転んだだけですから、ご心配には及びません。 ❌ ちょっと転んだだけですから、ご心配には当たりません。
〜には及ばない	①〜するほどではない / 〜する必要ない ②〜に勝てるレベルではない。
〜には無理がある	〜するのは困難である 達成が困難であること、現実的に実現できないことを述べる表現。
〜にひきかえ	～とは反対に  / ～に対して 「～にひきかえ」は主観的な気持ちが含まれる。
〜にもほどがある	〜にも限界がある  相手の行為が限度を超えていて、それを非難する際に使う。
〜にもまして	〜以上に / 〜もそうだが、それ以上に
〜に〜を重ねて	大変だけど〜を繰り返して
〜ねばならない	〜なければならない
〜の至り（いたり）	最高に〜だ。 程度が極めて高く、最高の状態に達していることを表す。
〜の極み	最高に〜だ。 程度が極限であることを表す。
〜のやら	〜のか / 〜のだろうか
〜はおろか	〜は当然として
〜ばそれまでだ	〜したら、全てが終わりだ 〜をしたら全てが無駄になると言いたい時に使う。
〜びる	〜のように感じる
〜べからず	〜してはいけない
〜べく	〜しようと思って / 〜ために 目的や強い意志があって〜すると言いたい時に使う。
〜ほどのことではない	"""大したことではないので、〜する必要はない"" 程度が低く重要でないことを表す。"
