#separator:tab
#html:false
〜合う	お互いに〜する
いくら〜ても / どんなに〜ても	数量や程度がどのようになっても、影響しないことを表す。
〜、一方だ	ますます～していく
〜上（に）	～に加えて / それに
〜うちに	〜という状況になる前に
〜うちに	〜している間に
「〜うちに」と「〜間に」の違い	「〜うちに」は「〜という状態でなくなると、できなくなる」、つまり「〜の時期にしなければならない」という強い気持ちが強い場合に使われる。
〜おかげで	〜が原因で   基本的に良い結果になった原因を言う時に使う。 悪い結果に使うこともできるが、皮肉となる。
〜おきに	〜間隔で / 〜の間を置いて
おそれがある	"""〜という心配がある / 〜に可能性がある"" 悪いことが起こるかもしれないと言いたい時に使われる表現。少し硬い表現でニュースや通知などに使われることが多い。"
お〜だ	「〜ていらっしゃる」の簡潔な言い方
〜がきっかけで / 〜をきっかけに	〜の行動が動機になって / それをするようになったのは〜があったからだ。
〜かける / 〜かけの	① 途中まで～して、まだ～し終わらない ② 〜しそうになる。   継続動詞と接続すると①の途中までの状態であることを表す。 瞬間動詞と接続すると②の直前を表す意味。
〜がち	よく～になる / ～状態になることが多い / ～する回数が多いといった意味を表す。 良くない意味で使われる。
〜かな / 〜かなあ	①疑問の気持ちを表す ②依頼したり、許可を求めるときに使う
〜から〜にかけて	"""〜ぐらいから〜ぐらいまで"" 範囲の始まりと終わりを表す。"
〜からには	"""〜のだから、当然・・・"" 話し手の決意や判断などを言う時に使われる。"
〜かわりに	Vしないで、他のことをする。 N（人や物）ではなく他の（人や物）が・・・。
〜きる	①全部〜する / 最後まで〜する ②強く〜する / 非常に〜する
〜くらい	～のような簡単なこと /  そんな小さいこと 「～くらい」で「～」は大した問題では無い、小さいことだ、と軽く考えている時に使う言葉。
〜結果	〜によって（・・・になった / 〜がわかった） 前件の事柄によって、どうなったのかを後件で言う。
「〜あげく」と「〜結果 」の違い	「〜あげく」は悪い結果に対してのみ使うことができのに対して、「〜結果」は後ろに来る結果の良し悪しに関係なく使うことができる。
〜こそ	強調を表す。 プラスの意味で使われる。（マイナスの意味を強調する使い方はしない。）
