#separator:tab
#html:false
〜間	〜の期間ずっと
「〜間」と「〜間に」の違い	「〜間」は後ろに継続性のある言葉が来るのに対し、「〜間に」は後ろにすぐに終わる動作が来る。
〜間に・・・	〜の期間に・・・する。 ※ずっと〜するのではない。
〜終わる	動作の終わりを表す。
〜か	間接疑問文。 文の中に疑問語（疑問詞）を使った疑問文を埋め込んで使う表現。
Nがする	音、声、味、匂い、香り、感じなど感覚を表したいときの言い方。
〜かどうか	間接疑問文。 文の中に疑問詞を使っていない疑問文を埋め込んで使う表現。
〜かもしれない	〜の可能性がある   話し手が推測したことを言う表現。「〜でしょう / だろう」に比べ、判断の根拠が薄く、不確かな推量である。
〜ことがある / 〜こともある	いつもではないが、時々〜する
〜ことにする	"""〜すると決める"" 自分の意志で〜する、〜しないと決めたことを言う時に使う。"
〜ことになる	"""〜することに決まる""   ①自分の意志に関係なく予定や計画が決まることを表す。 ②自分の意志で決めたことを婉曲的に言いたい時にも使う。"
させてください	「〜させてほしい」と相手に頼むときに使う表現。 相手が許可することを確信して使う場合が多い。
〜しか〜ない	「〜だけ」 期待していたよりも程度が低いと感じた時や、量が少ないと感じた時に使う表現。
〜し〜し	①並立描写 複数の事柄を並べて述べる表現。話し手の「さらに」、「その上」という気持ちが含まれる。人や物を評価するときによく使われる。   ②理由の列挙 理由を複数の上げ、最後に結論を述べる表現。 理由を１つだけ言う時もこの文型が使えるが、「言っていないだけで、他にも理由がある」というニュアンがある。
〜すぎる	非常に〜だ。 程度が水準を超えていることを表す。
する	対象をある状態に変化させることを表す文型
〜そうです	もうすぐ何かが起こると思ったときに言う表現。
〜そうです	見たり、聞いた情報を他の人に伝えるときに使われる表現。
〜そうです	〜のように見える 話し手が見て感じたことをいう時に使う。
〜出す	① 動作の開始を表す。 ② 中や隠れたところから外へ移動することを表す。 ③ 存在しなかったものを新たに作ったり出現させることを表す（創出・創造）。
〜たばかり	ちょっと前に〜が終わった、〜をした。 動作が終わってからの時間が短いことを言いたい時に使う。
「〜たばかりです」と「〜たところです」との違い	「〜たばかりです」は「〜たところです」よりも時間の幅があります。   例えば、以下の例文のように少し時間の幅がある場合、「〜たところです」を使うと不自然な文になります。   ×　私は半年前に、日本に来たところなので、日本語が上手じゃありません。 ○　私は半年前に、日本に来たばかりなので、日本語が上手じゃありません。   このように「〜たばかり」は動作を行ってから、短い時間・期間ではあるものの、ある程度、時間の幅があるということになります。   学習者から質問が会った時は、違いを理解できるように、たくさん例文を出してあげてください。
〜ために	行為の目的を言う言い方。
Vたらいいですか。	相手に指示を求める時に使う表現。   「Vたらどうですか」と形が似ているので、注意。
〜たらどうですか	相手にある行動をするように提案する言い方。 「たほうがいい」よりも直接的な提案。
〜つづける	動作や習慣の継続を表す。
〜って	人や物の名前をいう時に使う表現。 話し言葉。「〜っていう」とも言える。   書き言葉は「〜という」。
〜つもりだ	話し手の計画や予定を表す。
〜て	理由や原因を表す。
〜てある	誰かが何か目的があってその行為を行い、その行為の結果が残っていることを表す文型。
ている	発話時点より以前に起こったことの結果の状態が継続していることを表す表現。
〜ていく	① 今を基準とした、今後の推移や変化を表す。 ② Vの方向が話し手から離れていくことを表す。
〜ておく	① 何かの目的のために、前もって～する（準備）。 ② 何もしないで、そのままの状態を維持する（放置・現状維持）。
〜ていただけませんか	丁寧にお願いする表現
Vてくる	① 今を基準として、以前から今までの推移、変化を表す。 ② Vの方向が話し手の位置に向かっていることを表す。
〜てくる	一時的に用事で他の場所へ移動し、用事を済ませ戻って来ることを表す。
〜てしまう	①完了：ある行為を完全に完了することを表す。 ②後悔：意図せずある行為を行い、残念だ、後悔していると言いたい時に使う。
〜でしょう	おそらく〜だ   推量表現。きっぱりと断定はできないが、知識、経験、分析結果などから確信に近い気持ちで「おそらく〜だ」という時に使われる表現。
〜てみる	いいかどうかわからないので実際に行動して確かめる
〜ても	逆接の表現
〜と	ある動作を行うと、必ず、別のことがらや作用が続いて起こることを表す。 機械の使い方や道順の説明によく使われる。
