#separator:tab
#html:false
〜あとで	〜してから 前件の事柄が後件の事柄より先に起こること表す。
「〜てから」と「〜あとで」の違い	「〜てから 」は「後文の事柄が起こる条件として、まず前文の事柄が起こる必要がある」というニュアンスがある。   例えば、歯を磨かずに寝ようとしている息子に対して、 ・歯を磨いてから寝なさい！ ・歯を磨いたあとで寝なさい！ という例文があったとすると、「てから」の文は「寝るんだったら、絶対に歯を磨かなければダメ！」というニュアンスがあり、「あとで」よりも自然な文となる。   とはいえ、２つの文は置き換え可能なケースが多いので、使い分けについては神経質になる必要はないと説明し、学習者が不自然な発話をしたら都度、訂正していく形で進める。
〜がいちばん	比較する全てのもの（３つ以上）の中で、最も程度が高いことを表す。
あまり〜ない	程度が高くないことを表す文型
〜方（かた）	〜をする方法
〜が欲しい	話し手の願望や希望などを表す文型。
〜から	理由・原因を言う時に使う。
ぜひ	依頼や願望を強調して言う表現。
〜だけ	限定を表す
〜で	手段・方法を表す。
〜てから	XてからY：Xを先に行い、それが終わったらYを行う。
〜でしょう	相手に確認したり、同意を求める表現
〜てはいけない	禁止や規制を表す。
〜てもいいですか	許可を求める時に使う表現
どうやって	方法を尋ねる表現。
〜と思う	意見を述べたり、推測したことを述べる表現。
とても	程度が大きいことを表す。
どんな	人や物、場所の特徴について尋ねる文型
〜たい	行為の欲求や希望などを表す文型。
〜たり〜たり	複数ある事柄の中から代表的なものを２、３挙げて言う表現。
〜とき	「AときB」Bの状態、動作の時間をAで表す時に使われる。   「AときB」のAの動詞（V1）の時制は、主文の時制つまり「AときB」のBの動詞の時制（V2）とは関係がない。そのため、英語から日本語訳を考えると、使い方を間違える学生がいるので要注意である。   V1の時制の考え方はV2がV1より先に行われるか、後に行われるかで決まる。V1がV2より先に行われる場合、V1は過去形（タ形）、V2より後に行われる場合は、V1は現在形（辞書形）になる。   (例) When I leave the classroom, I turn off the light 教室を出るとき、電気を消します。 When I enter the classroom, I turn on the light. 教室に入った時、電気をつけます。
AないでB	Aをしない状態でBをする。
〜ないでください	何かをしないように指示する表現。
AながらB	同じ人が、AとBの２つのことを同時にする。
AながらB（誤用例）	「AながらB」の文型では、Bが主な動作を表し、AはどのようにBをするのかを表す追加情報になります。   そのため、次の文は違和感のある文になってしまいます。   部下：すみません、ちょっと大事な話があるんですが。 課長：いいよ。でも、今からクライアントと打ち合わせ予定だから、話しながら歩いてもいいかな。（正：歩きながら話してもいいかな）  また、原則、瞬間動詞が使えないので、次のような文も誤用となる。  テレビをつけながら、出かけてしまった。
〜なくてもいい	〜する必要がない。
〜なければならない	〜する義務がある / 〜する必要がある
〜なる	状態の変化を表す。Aという状態が変わり、Bという状態に変化する。
〜に行きます / 来ます / 帰ります	その場所へ行く目的を表す。
〜はどうですか	相手に意見や印象、感想など聞く時に使う。
AはBより・・・です。	２つの物を比較する表現。
〜前に	２つの行為のうち、どちらを先に行うかを表す時に使う表現。
〜ましょう	①一緒に何かをするよう誘う表現（Let's） ②誘いを受け入れる返事をする時にも使われる表現    (例) A：今晩、飲みに行きませんか。  B：行きましょう。
〜ましょうか	手伝いを申し出る表現。
〜ませんか	相手を誘う表現
もう〜した	動作や出来事の完了を表す。
〜をください	依頼表現。 レストランで注文する時や、お店で商品する時などに使う。
